Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field ([CHART] Date of First Response),Parent,Parent summary,Status Category
User Interaction,S6D-30,10031,Epic,To Do,S6D,SOEN 6011 Delivery,software,Vaibhav Sharma,637c5c3efde064eda2ed99c7,,Medium,,,,Vaibhav Sharma,637c5c3efde064eda2ed99c7,Vaibhav Sharma,637c5c3efde064eda2ed99c7,17/Jul/23 5:53 PM,17/Jul/23 5:53 PM,18/Jul/23 6:06 PM,,,0,,,Vaibhav Sharma,637c5c3efde064eda2ed99c7,,,,,,,,,,,,,,,,{},,,,,purple,,,0|i0005z:,,,,,,,,,,,,,To Do
As a User I would like to update my profile,S6D-29,10030,Story,To Do,S6D,SOEN 6011 Delivery,software,Vaibhav Sharma,637c5c3efde064eda2ed99c7,,Medium,,Kalinga Swain,621ddc47b7e7c7007155fc55,Vaibhav Sharma,637c5c3efde064eda2ed99c7,Vaibhav Sharma,637c5c3efde064eda2ed99c7,17/Jul/23 5:53 PM,18/Jul/23 5:45 PM,17/Jul/23 5:53 PM,,,0,,,Vaibhav Sharma,637c5c3efde064eda2ed99c7,,,,,,,,,,,,,,,,{},,,,,,,,0|i0005r:,,S6D Sprint 2,,,,,,,,,10031,User Interaction,To Do
As a User I would like to apply for jobs,S6D-28,10029,Story,To Do,S6D,SOEN 6011 Delivery,software,Vaibhav Sharma,637c5c3efde064eda2ed99c7,,Medium,,,,Vaibhav Sharma,637c5c3efde064eda2ed99c7,Vaibhav Sharma,637c5c3efde064eda2ed99c7,17/Jul/23 5:52 PM,17/Jul/23 5:53 PM,18/Jul/23 5:43 PM,,,0,,,Vaibhav Sharma,637c5c3efde064eda2ed99c7,,,,,,,,,,,,,,,,{},,,,,,,,0|i0005j:,,S6D Sprint 2,,,,,,,,,10031,User Interaction,To Do
Login Functionality,S6D-27,10028,Epic,To Do,S6D,SOEN 6011 Delivery,software,Vaibhav Sharma,637c5c3efde064eda2ed99c7,,Medium,,,,Vaibhav Sharma,637c5c3efde064eda2ed99c7,Vaibhav Sharma,637c5c3efde064eda2ed99c7,17/Jul/23 5:48 PM,17/Jul/23 5:48 PM,18/Jul/23 5:55 PM,,,0,,,Vaibhav Sharma,637c5c3efde064eda2ed99c7,,,,,,,,,,,,,,,,{},,,,,purple,,,0|i0005b:,,,,,,,,,,,,,To Do
Authentication & Access,S6D-22,10023,Epic,To Do,S6D,SOEN 6011 Delivery,software,Vaibhav Sharma,637c5c3efde064eda2ed99c7,,Medium,,,,Kalinga Swain,621ddc47b7e7c7007155fc55,Kalinga Swain,621ddc47b7e7c7007155fc55,11/Jul/23 8:41 PM,11/Jul/23 8:41 PM,18/Jul/23 6:06 PM,,,0,,,Kalinga Swain,621ddc47b7e7c7007155fc55,,,,,,,,,,,,,,,,{},,,,,,,,0|i0004n:,,,,,,,,,,,,,To Do
PROJECT SETUP,S6D-21,10022,Epic,To Do,S6D,SOEN 6011 Delivery,software,Vaibhav Sharma,637c5c3efde064eda2ed99c7,,Medium,,,,Kalinga Swain,621ddc47b7e7c7007155fc55,Kalinga Swain,621ddc47b7e7c7007155fc55,11/Jul/23 5:51 PM,11/Jul/23 5:54 PM,18/Jul/23 6:06 PM,,,0,Project initial setup and role assigning,,Kalinga Swain,621ddc47b7e7c7007155fc55,,,,,,,,,,,,,,,,{},,,,,,,,0|i0004f:,,,,,,,,,,,,,To Do
Receive updates,S6D-17,10018,Task,To Do,S6D,SOEN 6011 Delivery,software,Vaibhav Sharma,637c5c3efde064eda2ed99c7,,Medium,,,,Maitry Gajiwala,712020:e5823e91-a566-4f73-ac13-f77915492744,Maitry Gajiwala,712020:e5823e91-a566-4f73-ac13-f77915492744,11/Jul/23 4:36 PM,11/Jul/23 4:45 PM,18/Jul/23 6:06 PM,,,0,"As a student, I should be able to receive notifications and be able to confirm, reschedule, or decline the interview requests.",,Maitry Gajiwala,712020:e5823e91-a566-4f73-ac13-f77915492744,,,,,,,,,,,,,,,,{},,,,,,,,0|i0003j:,,,,,,,,,,,10012,Student Interview Scheduling,To Do
Request and select slots,S6D-16,10017,Task,To Do,S6D,SOEN 6011 Delivery,software,Vaibhav Sharma,637c5c3efde064eda2ed99c7,,Medium,,,,Maitry Gajiwala,712020:e5823e91-a566-4f73-ac13-f77915492744,Maitry Gajiwala,712020:e5823e91-a566-4f73-ac13-f77915492744,11/Jul/23 4:36 PM,11/Jul/23 4:44 PM,18/Jul/23 6:06 PM,,,0,"As a student, I should be able to select and request a preferred interview time slot for each job application.",,Maitry Gajiwala,712020:e5823e91-a566-4f73-ac13-f77915492744,,,,,,,,,,,,,,,,{},,,,,,,,0|i0003b:,,,,,,,,,,,10012,Student Interview Scheduling,To Do
View interview slots,S6D-15,10016,Task,To Do,S6D,SOEN 6011 Delivery,software,Vaibhav Sharma,637c5c3efde064eda2ed99c7,,Medium,,,,Maitry Gajiwala,712020:e5823e91-a566-4f73-ac13-f77915492744,Maitry Gajiwala,712020:e5823e91-a566-4f73-ac13-f77915492744,11/Jul/23 4:35 PM,11/Jul/23 4:43 PM,18/Jul/23 6:06 PM,,,0,"If accepted, as a student I should be able to view available interview slots provided by employers.",,Maitry Gajiwala,712020:e5823e91-a566-4f73-ac13-f77915492744,,,,,,,,,,,,,,,,{},,,,,,,,0|i00033:,,,,,,,,,,,10012,Student Interview Scheduling,To Do
Employer - Candidate Management,S6D-14,10015,Epic,To Do,S6D,SOEN 6011 Delivery,software,Vaibhav Sharma,637c5c3efde064eda2ed99c7,,Medium,,,,Maitry Gajiwala,712020:e5823e91-a566-4f73-ac13-f77915492744,Maitry Gajiwala,712020:e5823e91-a566-4f73-ac13-f77915492744,11/Jul/23 4:32 PM,11/Jul/23 4:32 PM,18/Jul/23 6:06 PM,,,0,,,Maitry Gajiwala,712020:e5823e91-a566-4f73-ac13-f77915492744,,,,,,,,,,,,,,,,{},,,,,,,,0|i0002v:,,,,,,,,,,,,,To Do
Employer - Candidate Selection and Interview Scheduling,S6D-13,10014,Epic,To Do,S6D,SOEN 6011 Delivery,software,Vaibhav Sharma,637c5c3efde064eda2ed99c7,,Medium,,,,Maitry Gajiwala,712020:e5823e91-a566-4f73-ac13-f77915492744,Maitry Gajiwala,712020:e5823e91-a566-4f73-ac13-f77915492744,11/Jul/23 4:32 PM,11/Jul/23 4:32 PM,18/Jul/23 6:06 PM,,,0,,,Maitry Gajiwala,712020:e5823e91-a566-4f73-ac13-f77915492744,,,,,,,,,,,,,,,,{},,,,,,,,0|i0002n:,,,,,,,,,,,,,To Do
